Address,Balance
0x9642b23ed1e01df1092b92641051881a322f5d4e,40528519.36281537
0x6d71679a3cc31d43b8d488bd6e9d3fb6675e3158,62542.740000000005
0xdd34ce069b81a778fa7d0224e8962c502873987b,1987.9399999999998
0x2dfff737eb054ded9795d96d6d9b9909896bb940,1406.03
0x7df5d89cc5005c2f9e51073afe3b7d42b15d6155,31600
0xea31ca828f53a41ba2864fa194bb8a2d3f11c0c0,44286.36587645914
0x1cded79033ed54bced8bab2629dff41901623688,47164
0x84cb671b44006fa17151f5dd9b29ef08ce2a2717,8.388608e-12
0x1237351e07214a751e56cdf0412c2ca42cf59766,341562.39784177
0xd71d831fbf137928b477eea4fec6638fbe195ff5,66564.07049029181
0x106166834496776c11b2130bcec76e58db809bc1,25228.829999999998
0x2b4bb42bd072c2a874aa788dfb1ce1332d2ea23c,20371.174177414774
0x7d8319dd509bc8ac2b1bc1a9a81e2469f0fa7ce2,23104.694830606237
0x6305a3227a80e817f75058ecdf05ac85ee9e806c,2770413.760000004
0xd49baa6a619fc87bc56e0f8970f9fe6aeaeb4f13,555000000
0xd3fc28b57f762714521bc671dbca29390e8ca026,17425.86
0x41df7ffd39b78fd14aaa2ec202ad25f4c60c69e9,0.7739680749351076
0x940b1f11fbd67e5e53650446891984c9f7bb6df2,19960.000000000004
0x70168f2d7f66e2a174af0edb185336810adaf3d2,160
0xa02bbb0e34eb7befb0fe4c9d3eda6ffedf298c1b,60
0xd43d1b40c46f1e968b3fd1c2c2334e72ed48fb91,2682
0x5015390bf4b0f42a59cb0a7fe35f87432b241144,4960
0xdb71d3ead2c8523d97b7fa17e2297702859e823e,4.294967296e-9
0x3ebccc002ff8aed4e982f0011fc2090799f844e0,1000
0x434b4eaed50d44cac2629c5847119a770be8aa86,988999.9999999999